model,snr_db,noise_std_mean,rmse,mae,mape,r2
ARA-SVR,10.0,0.31587088108062744,10.334441221129214,7.301286486936434,38272206.196850106,0.9145197969828396
ARA-SVR,20.0,0.09988714754581451,9.330067698529474,6.0676856373413255,44362042.77282609,0.9303275414366445
ARA-SVR,30.0,0.031587086617946625,9.280647782023182,5.966422770248918,44992126.63472107,0.9310636750060739
ARA-SVR,40.0,0.009988714009523392,9.241354573033634,5.9617301462532675,45040053.18689164,0.9316461764137395
ARA-SVR,60.0,0.0009988714009523392,9.24657821853963,5.953644227265598,45085421.66430195,0.9315688810231166
BRF-WPF,10.0,0.31587088108062744,11.512944330289992,8.330612896437646,65887087.83167642,0.8939124657607934
BRF-WPF,20.0,0.09988714754581451,10.339748471046839,7.194605001402273,58634570.52982737,0.9144319777615699
BRF-WPF,30.0,0.031587086617946625,10.142871765667252,7.0172041743564355,53244374.25193238,0.9176595159680955
BRF-WPF,40.0,0.009988714009523392,9.682192175428991,6.907689750009994,45820752.41731765,0.9249693095718013
BRF-WPF,60.0,0.0009988714009523392,9.661853538173661,6.9210100028692505,46176087.54413565,0.9252842009041427
FLSVR,10.0,0.31587088108062744,9.660027869318645,6.987241925339141,36867301.12185134,0.9253124342900922
FLSVR,20.0,0.09988714754581451,8.867471189619875,6.248164955317945,35304219.32652334,0.937065162054675
FLSVR,30.0,0.031587086617946625,8.80231094110347,6.306272134453025,34330027.75669003,0.9379866835556903
FLSVR,40.0,0.009988714009523392,8.794001452397245,6.301130615637163,34427747.40043445,0.9381037109435736
FLSVR,60.0,0.0009988714009523392,8.794564594141626,6.300814474595142,34419875.61639456,0.93809578338058
HHO-SVR,10.0,0.31587088108062744,9.289109797057979,6.892890500925279,26195731.878938846,0.9309379065953868
HHO-SVR,20.0,0.09988714754581451,7.59199386554792,5.5042870759752285,7994900.536978527,0.953867898063949
HHO-SVR,30.0,0.031587086617946625,7.56624545441748,5.520832913799809,5065095.05251297,0.9541802834729078
HHO-SVR,40.0,0.009988714009523392,7.597801353770858,5.521195149732353,4837762.311308374,0.9537972936580943
HHO-SVR,60.0,0.0009988714009523392,7.6033234900521744,5.529542878442118,4718321.173975384,0.9537301083377545
KMeans-GBT,10.0,0.31587088108062744,10.384933766863512,7.371581173079046,55148257.86710589,0.9136824692722261
KMeans-GBT,20.0,0.09988714754581451,9.69671380619073,6.720528044716025,54317913.103859395,0.9247440744091099
KMeans-GBT,30.0,0.031587086617946625,9.942542722405282,6.752416595951915,60852920.23018447,0.9208799637472055
KMeans-GBT,40.0,0.009988714009523392,9.805692489238051,6.7073654939441605,58515298.30295051,0.9230430078723536
KMeans-GBT,60.0,0.0009988714009523392,9.601650482148024,6.668216048043706,57547583.45363829,0.9262124090412842
RF-WPF,10.0,0.31587088108062744,9.58492733946196,6.691419073806325,27696972.02071803,0.9264692161023764
RF-WPF,20.0,0.09988714754581451,8.380232699191083,5.642686182130234,4670756.178145514,0.9437912791316673
RF-WPF,30.0,0.031587086617946625,8.128131938586021,5.496447273547324,2857587.5122379917,0.9471222417204371
RF-WPF,40.0,0.009988714009523392,8.019788248044103,5.361210895003085,5739660.475110647,0.948522511658464
RF-WPF,60.0,0.0009988714009523392,8.143435742256905,5.39655208770905,3134010.218287924,0.9469229357408837
TL-QLDMR,10.0,0.31587088108062744,8.516562907305437,5.902281577102179,16734735.825161414,0.9419475887318352
TL-QLDMR,20.0,0.09988714754581451,7.5212990215256905,5.33344830892378,14753775.530584782,0.9547230403558291
TL-QLDMR,30.0,0.031587086617946625,7.213589091800638,4.992789168515339,11031466.596704908,0.9583519812897373
TL-QLDMR,40.0,0.009988714009523392,7.417557347880075,5.525877172533153,6379786.7511262605,0.9559634414704847
TL-QLDMR,60.0,0.0009988714009523392,7.046996364354464,4.81944307944176,13028291.021969566,0.960253431421728
