config_id,snr_db,r2,rmse,lambda1,lambda2,C_S,C_T,kernel_gamma,nystrom_n_components,nystrom_lr,nystrom_epochs,nystrom_batch_size,tau
0,60.0,0.8800231755637806,12.116566128214727,0.0001,1e-05,0.1,50.0,0.001,800,0.01,48,256,0.5
0,40.0,0.8816141736929498,12.035959851330759,0.0001,1e-05,0.1,50.0,0.001,800,0.01,48,256,0.5
0,20.0,0.8811879257529547,12.057608107864125,0.0001,1e-05,0.1,50.0,0.001,800,0.01,48,256,0.5
1,60.0,0.8868343664293264,11.767606977529265,0.0001,0.0001,0.1,100.0,0.001,1000,0.01,64,256,0.5
1,40.0,0.8866417185044935,11.777619032436132,0.0001,0.0001,0.1,100.0,0.001,1000,0.01,64,256,0.5
1,20.0,0.8873011765111473,11.743311111194709,0.0001,0.0001,0.1,100.0,0.001,1000,0.01,64,256,0.5
2,60.0,0.8939668628105423,11.39073323428666,0.0005,0.0001,0.05,150.0,0.002,1200,0.01,64,256,0.5
2,40.0,0.9001092947385587,11.05588251903568,0.0005,0.0001,0.05,150.0,0.002,1200,0.01,64,256,0.5
2,20.0,0.8905753652110747,11.571467193129209,0.0005,0.0001,0.05,150.0,0.002,1200,0.01,64,256,0.5
3,60.0,0.8878095419827748,11.716795122691773,0.001,0.001,0.1,200.0,0.001,1200,0.005,80,256,0.5
3,40.0,0.8899592587693235,11.603997566530893,0.001,0.001,0.1,200.0,0.001,1200,0.005,80,256,0.5
3,20.0,0.8862573065220425,11.797571814106464,0.001,0.001,0.1,200.0,0.001,1200,0.005,80,256,0.5
4,60.0,0.8644925097778506,12.87693567732597,0.001,0.1,0.05,200.0,0.0005,1500,0.01,80,256,0.6
4,40.0,0.8662285911224997,12.794182049290667,0.001,0.1,0.05,200.0,0.0005,1500,0.01,80,256,0.6
4,20.0,0.8834114460257898,11.944248585843187,0.001,0.1,0.05,200.0,0.0005,1500,0.01,80,256,0.6
5,60.0,0.9070759904329908,10.663379016119507,0.01,0.001,0.1,300.0,0.002,1500,0.01,80,256,0.5
5,40.0,0.8996336166649747,11.082175230047348,0.01,0.001,0.1,300.0,0.002,1500,0.01,80,256,0.5
5,20.0,0.8998100070215242,11.07243268279827,0.01,0.001,0.1,300.0,0.002,1500,0.01,80,256,0.5
