model,snr_db,noise_std_mean,q_hat,q_scale,picp,mpiw,pinaw,cwc,winkler
AMQRNN,30.0,0.031573884189128876,9.438117980957031,0.5,0.9518072289156626,33.51723098754883,0.3486620009834855,0.3486620009834855,68.5456771850586
AMQRNN,40.0,0.009984537959098816,9.438117980957031,0.5,0.9518072289156626,33.512840270996094,0.34861632668480624,0.34861632668480624,68.51717376708984
AMQRNN,60.0,0.0009984539356082678,9.438117980957031,0.5,0.9518072289156626,33.51170349121094,0.3486045013668163,0.3486045013668163,68.5154037475586
CQR-MLP,30.0,0.031573884189128876,8.232681274414062,0.5,0.9325301204819277,32.54771423339844,0.33857663171134417,0.4437612849173701,48.827754974365234
CQR-MLP,40.0,0.009984537959098816,8.232681274414062,0.5,0.9325301204819277,32.55044174194336,0.33860500453806497,0.44379847225064445,48.779579162597656
CQR-MLP,60.0,0.0009984539356082678,8.232681274414062,0.5,0.9325301204819277,32.55386734008789,0.33864063922113535,0.44384517746082686,48.742706298828125
HybridDL-Interval,30.0,0.031573884189128876,6.87486457824707,0.5,0.9421686746987952,32.303733825683594,0.3360386327583213,0.43844162958652,53.46196746826172
HybridDL-Interval,40.0,0.009984537959098816,6.87486457824707,0.5,0.9421686746987952,32.306983947753906,0.3360724420567355,0.4384857417880553,53.420406341552734
HybridDL-Interval,60.0,0.0009984539356082678,6.87486457824707,0.5,0.9421686746987952,32.305606842041016,0.3360581167554121,0.4384670510547757,53.407596588134766
NFS-SVQR,30.0,0.031573884189128876,0.049037516441214034,0.5,0.9060240963855422,68.36923316324628,0.7112089196526797,0.9441871992755967,77.30503302005671
NFS-SVQR,40.0,0.009984537959098816,0.049037516441214034,0.5,0.9132530120481928,68.37636852842307,0.7112831450772447,0.9409412625039424,76.87806783712655
NFS-SVQR,60.0,0.0009984539356082678,0.049037516441214034,0.5,0.9132530120481928,68.35939844205997,0.7111066142573085,0.9407077336571938,76.9834905313565
NuSVR-CI,30.0,0.031573884189128876,19.969505383601078,0.5,0.8385542168674699,19.969505383601078,0.2077321873123513,0.2856121305004128,54.92163671412671
NuSVR-CI,40.0,0.009984537959098816,19.969505383601078,0.5,0.8361445783132531,19.96950538360108,0.20773218731235132,0.2859883613800813,54.62297459354601
NuSVR-CI,60.0,0.0009984539356082678,19.969505383601078,0.5,0.8433734939759037,19.96950538360108,0.20773218731235132,0.2848650864413855,54.588480421801926
QGBR,30.0,0.031573884189128876,4.216591069772996,0.5,0.9518072289156626,32.06749456285463,0.3335811608353152,0.3335811608353152,38.44075772051736
QGBR,40.0,0.009984537959098816,4.216591069772996,0.5,0.9518072289156626,31.721150848015746,0.3299783306167737,0.3299783306167737,37.424228543766674
QGBR,60.0,0.0009984539356082678,4.216591069772996,0.5,0.946987951807229,31.705889412160435,0.3298195739830538,0.42936330461945243,37.74997505620051
TL-QLDMR,30.0,0.031573884189128876,8.927202126012176,1.012,0.9542168674698795,26.70884079908653,0.27783792403430563,0.27783792403430563,36.30745470904716
TL-QLDMR,40.0,0.009984537959098816,8.927202126012176,1.012,0.9566265060240964,26.712620726266827,0.27787724461465857,0.27787724461465857,36.0344684145697
TL-QLDMR,60.0,0.0009984539356082678,8.927202126012176,1.012,0.9566265060240964,26.714566681981243,0.2778974873612466,0.2778974873612466,36.082661299461364
TSVQR,30.0,0.031573884189128876,16.4245387963622,0.5,0.8891566265060241,24.570247052749313,0.25559126603425486,0.34219071859998873,48.305511799332706
TSVQR,40.0,0.009984537959098816,16.4245387963622,0.5,0.8891566265060241,24.587690068331717,0.2557727164863643,0.3424336481083441,48.13994313537403
TSVQR,60.0,0.0009984539356082678,16.4245387963622,0.5,0.8891566265060241,24.591895054323725,0.2558164587283957,0.34249221110021055,48.16853064002139
UQSVM-SSVQR,30.0,0.031573884189128876,1.608461980437184,0.5,0.9228915662650602,81.70566659268047,0.8499407727468972,1.1191289640926132,85.36355741101019
UQSVM-SSVQR,40.0,0.009984537959098816,1.608461980437184,0.5,0.927710843373494,81.71785844980563,0.8500675981789426,1.1167134505963205,85.17770208807222
UQSVM-SSVQR,60.0,0.0009984539356082678,1.608461980437184,0.5,0.927710843373494,81.7102158130029,0.8499880958763383,1.1166090103249093,85.16169272417456
