solver,n_samples,time_sec
batch_sgd,100,2.972172524081543
batch_sgd,200,2.300453706877306
batch_sgd,400,4.373590901028365
batch_sgd,600,4.873631129972637
batch_sgd,800,3.890361682046205
batch_sgd,1200,6.048724127933383
batch_sgd,1600,6.123094722861424
cvxopt,100,0.494047068990767
cvxopt,200,0.661518031032756
cvxopt,400,0.8840811611153185
cvxopt,600,2.7279491289518774
cvxopt,800,4.949324411805719
fast_nystrom,100,0.02407491090707481
fast_nystrom,200,0.5538720078766346
fast_nystrom,400,0.6964808790944517
fast_nystrom,600,0.8241989391390234
fast_nystrom,800,0.9244524401146919
fast_nystrom,1200,1.1144554640632123
fast_nystrom,1600,1.464530282188207
fast_nystrom,2000,1.6703832598868757
torch_gd,100,2.253638475202024
torch_gd,200,2.3983976438175887
torch_gd,400,2.5081256709527224
torch_gd,600,2.6684637549333274
torch_gd,800,2.375243282876909
