solver,n_samples,n_source,n_target,repeat,time_sec,status,error
cvxopt,100,70,30,0,0.494047068990767,ok,
torch_gd,100,70,30,0,2.253638475202024,ok,
batch_sgd,100,70,30,0,2.972172524081543,ok,
fast_nystrom,100,70,30,0,0.02407491090707481,ok,
cvxopt,200,140,60,0,0.661518031032756,ok,
torch_gd,200,140,60,0,2.3983976438175887,ok,
batch_sgd,200,140,60,0,2.300453706877306,ok,
fast_nystrom,200,140,60,0,0.5538720078766346,ok,
cvxopt,400,280,120,0,0.8840811611153185,ok,
torch_gd,400,280,120,0,2.5081256709527224,ok,
batch_sgd,400,280,120,0,4.373590901028365,ok,
fast_nystrom,400,280,120,0,0.6964808790944517,ok,
cvxopt,600,420,180,0,2.7279491289518774,ok,
torch_gd,600,420,180,0,2.6684637549333274,ok,
batch_sgd,600,420,180,0,4.873631129972637,ok,
fast_nystrom,600,420,180,0,0.8241989391390234,ok,
cvxopt,800,560,240,0,4.949324411805719,ok,
torch_gd,800,560,240,0,2.375243282876909,ok,
batch_sgd,800,560,240,0,3.890361682046205,ok,
fast_nystrom,800,560,240,0,0.9244524401146919,ok,
cvxopt,1200,840,360,0,,skipped,n_total>800
torch_gd,1200,840,360,0,,skipped,n_total>800
batch_sgd,1200,840,360,0,6.048724127933383,ok,
fast_nystrom,1200,840,360,0,1.1144554640632123,ok,
cvxopt,1600,1120,480,0,,skipped,n_total>800
torch_gd,1600,1120,480,0,,skipped,n_total>800
batch_sgd,1600,1120,480,0,6.123094722861424,ok,
fast_nystrom,1600,1120,480,0,1.464530282188207,ok,
cvxopt,2000,1400,600,0,,skipped,n_total>800
torch_gd,2000,1400,600,0,,skipped,n_total>800
batch_sgd,2000,1400,600,0,,skipped,n_total>1600
fast_nystrom,2000,1400,600,0,1.6703832598868757,ok,
